X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LABEL_NAME,DATELASTMODIFIED
-76.98034771,38.85565773,1,nhood_050,Fort Stanton,http://NeighborhoodAction.dc.gov,Fort Stanton,2003-04-10T00:00:00.000Z
-76.99794993,38.84107731,2,nhood_031,Congress Heights,http://NeighborhoodAction.dc.gov,Congress Heights,2003-04-10T00:00:00.000Z
-76.99563621,38.83023741,3,nhood_123,Washington Highlands,http://NeighborhoodAction.dc.gov,Washington Highlands,2003-04-10T00:00:00.000Z
-77.00927076,38.82695245,4,nhood_008,Bellevue,http://NeighborhoodAction.dc.gov,Bellevue,2003-04-10T00:00:00.000Z
-76.96766003,38.85368806,5,nhood_073,Knox Hill/Buena Vista,http://NeighborhoodAction.dc.gov,Knox Hill/Buena Vista,2003-04-10T00:00:00.000Z
-76.97290234,38.84686013,6,nhood_111,Shipley,http://NeighborhoodAction.dc.gov,Shipley,2003-04-10T00:00:00.000Z
-76.97964457,38.84757145,7,nhood_035,Douglass,http://NeighborhoodAction.dc.gov,Douglass,2003-04-10T00:00:00.000Z
-76.97392561,38.85655424,8,nhood_126,Woodland,http://NeighborhoodAction.dc.gov,Woodland,2003-04-10T00:00:00.000Z
-76.97221327,38.85408512,9,nhood_056,Garfield Heights,http://NeighborhoodAction.dc.gov,Garfield Heights,2003-04-10T00:00:00.000Z
-77.00062711,38.87838447,10,nhood_094,Near Southeast,http://NeighborhoodAction.dc.gov,Near Southeast,2003-04-10T00:00:00.000Z
-76.99847748,38.88362076,11,nhood_021,Capitol Hill,http://NeighborhoodAction.dc.gov,Capitol Hill,2003-04-10T00:00:00.000Z
-76.96281843,38.87263041,12,nhood_038,Dupont Park,http://NeighborhoodAction.dc.gov,Dupont Park,2003-04-10T00:00:00.000Z
-76.96084721,38.87558791,13,nhood_120,Twining,http://NeighborhoodAction.dc.gov,Twining,2003-04-10T00:00:00.000Z
-76.96580364,38.86933565,14,nhood_107,Randle Highlands,http://NeighborhoodAction.dc.gov,Randle Highlands,2003-04-10T00:00:00.000Z
-76.97745178,38.8691585,15,nhood_043,Fairlawn,http://NeighborhoodAction.dc.gov,Fairlawn,2003-04-10T00:00:00.000Z
-76.95342386,38.86956018,16,nhood_101,Penn Branch,http://NeighborhoodAction.dc.gov,Penn Branch,2003-04-10T00:00:00.000Z
-76.99728051,38.85925526,17,nhood_007,Barry Farm,http://NeighborhoodAction.dc.gov,Barry Farm,2003-04-10T00:00:00.000Z
-76.98467764,38.86318571,18,nhood_066,Historic Anacostia,http://NeighborhoodAction.dc.gov,Historic Anacostia,2003-04-10T00:00:00.000Z
-77.03058603,38.92800829,19,nhood_030,Columbia Heights,http://NeighborhoodAction.dc.gov,Columbia Heights,2003-04-10T00:00:00.000Z
-77.02534038,38.90981631,20,nhood_080,Logan Circle/Shaw,http://NeighborhoodAction.dc.gov,Logan Circle/Shaw,2003-04-10T00:00:00.000Z
-77.02755011,38.9171683,21,nhood_023,Cardozo/Shaw,http://NeighborhoodAction.dc.gov,Cardozo/Shaw,2003-04-10T00:00:00.000Z
-77.06610638,38.94339058,22,nhood_122,Van Ness,http://NeighborhoodAction.dc.gov,Van Ness,2003-04-10T00:00:00.000Z
-77.05846164,38.94689272,23,nhood_045,Forest Hills,http://NeighborhoodAction.dc.gov,Forest Hills,2003-04-10T00:00:00.000Z
-77.09067742,38.90963713,24,nhood_059,Georgetown Reservoir,http://NeighborhoodAction.dc.gov,Georgetown Reservoir,2003-04-10T00:00:00.000Z
-77.08440713,38.91324713,25,nhood_053,Foxhall Village,http://NeighborhoodAction.dc.gov,Foxhall Village,2003-04-10T00:00:00.000Z
